team,tier,action,watch_index,model_prob,consensus_prob,adjusted_prob,quarterfinal_prob,semifinal_prob,final_prob,path_index,ceiling_index,historical_breakthrough_index,undervalued_score,undervalued_label,undervalued_action,contrast,external_source,external_url,external_note
Portugal,Tapado serio por antecedente reciente,Vigilar su rama como cobertura real: la señal reciente sostiene que puede incomodar favoritos si el cuadro se abre.,89.42094860591597,0.03431,0.075,0.0581178467471373,0.44830000000000003,0.20258,0.08191999999999999,0.3037212,0.14828300000000003,0.7725300000000002,64.01619030482823,Tapado por camino favorable,No subirlo por talento puro; subirlo solo si el cuadro queda abierto.,El consenso externo lo sostiene más que el modelo propio.,Opta post-sorteo + Klement,https://www.si.com/soccer/opta-supercomputer-predicts-2026-world-cup-winner-groups-complete,No es tapado puro: aparece como candidato secundario serio y también como finalista en un modelo alternativo.
Netherlands,Tapado serio por antecedente reciente,Vigilar su rama como cobertura real: la señal reciente sostiene que puede incomodar favoritos si el cuadro se abre.,83.43240037556886,0.0306,0.05,0.04374248754299402,0.33160000000000006,0.20742,0.0862,0.24769040000000003,0.152871,0.755562,63.45639155257964,Tapado por camino favorable,No subirlo por talento puro; subirlo solo si el cuadro queda abierto.,El consenso externo lo sostiene más que el modelo propio.,Sports Illustrated + Klement,https://www.si.com/soccer/10-dark-horse-candidates-to-win-2026-world-cup,Tiene recorrido de tapado fuerte: varias lecturas externas lo mantienen vivo y un modelo alternativo lo proyecta campeón.
Colombia,Candidato secundario,Mantener como alternativa real de llave y revisar antes de cada eliminatoria.,63.47155494124954,0.02057,0.018,0.022461329408370166,0.37128,0.15381,0.054079999999999996,0.2445936,0.1089315,0.5679770909090909,58.4460860045464,Tapado infravalorado jugable,Vigilar antes de octavos/cuartos; usar solo si su ruta se confirma.,Modelo propio y consenso están razonablemente alineados.,Sky Sports,https://www.skysports.com/football/news/11096/13621739/luis-diaz-led-colombia-labelled-a-dark-horse-for-world-cup-2026-by-nuno-espirito-santo,Su techo ofensivo y la lectura externa reciente la convierten en candidata para romper una rama.
Croatia,Tapado serio,Vigilar su rama: puede justificar cobertura si enfrenta a un favorito en un cruce cerrado.,46.146241543807626,0.01433,0.015,0.017460119157773353,0.26498,0.11585999999999999,0.04593,0.1778326,0.08439150000000001,0.63703,45.60834055546109,Tapado por camino favorable,No subirlo por talento puro; subirlo solo si el cuadro queda abierto.,Modelo propio y consenso están razonablemente alineados.,Detección interna por ruta Monte Carlo,,El motor la detecta por su recorrido simulado; no hay una señal editorial externa añadida.
Ecuador,Tapado serio,Vigilar su rama: puede justificar cobertura si enfrenta a un favorito en un cruce cerrado.,40.11451182395721,0.00599,0.007690649224806209,0.008660163144789058,0.2667699999999999,0.08804999999999999,0.02548,0.16614739999999995,0.0598935,0.385938,35.53533910933343,Tapado por camino favorable,No subirlo por talento puro; subirlo solo si el cuadro queda abierto.,Modelo propio y consenso están razonablemente alineados.,World Soccer Talk,https://worldsoccertalk.com/news/dark-horses-you-cannot-ignore-for-the-2026-fifa-world-cup/,Perfil físico y defensivo útil para incomodar favoritos; exige confirmar que la ruta siga abierta.
Belgium,Tapado serio,Vigilar su rama: puede justificar cobertura si enfrenta a un favorito en un cruce cerrado.,37.372573930534834,0.00623,0.014,0.011975072504581274,0.35583000000000004,0.07749,0.02205,0.20668080000000003,0.052542000000000005,0.7031400000000001,41.65517535027488,Tapado por camino favorable,No subirlo por talento puro; subirlo solo si el cuadro queda abierto.,Modelo propio y consenso están razonablemente alineados.,Detección interna por ruta Monte Carlo,,El motor la detecta por su recorrido simulado; no hay una señal editorial externa añadida.
Switzerland,Tapado serio,Vigilar su rama: puede justificar cobertura si enfrenta a un favorito en un cruce cerrado.,32.62364178562007,0.00675,0.00866642441860466,0.0096519982405209,0.21712,0.08698,0.02314,0.1405588,0.058252000000000005,0.5217160000000001,33.66325243628631,Alerta secundaria,"Mantener en watchlist, no mover la llave base sin nueva evidencia.",Modelo propio y consenso están razonablemente alineados.,Detección interna por ruta Monte Carlo,,El motor la detecta por su recorrido simulado; no hay una señal editorial externa añadida.
Norway,Tapado de mayor varianza,No sustituye la llave base; usarlo como alerta de sorpresa si la ruta y el live lo favorecen.,31.744629737098652,0.00496,0.006368217054263572,0.007298391002725123,0.15785,0.053399999999999996,0.01836,0.09931779999999998,0.037632,0.5325414545454545,27.181417264984038,Alerta secundaria,"Mantener en watchlist, no mover la llave base sin nueva evidencia.",Modelo propio y consenso están razonablemente alineados.,World Soccer Talk,https://worldsoccertalk.com/news/dark-horses-you-cannot-ignore-for-the-2026-fifa-world-cup/,Su capacidad de gol puede elevar la varianza de una eliminatoria incluso sin convertirla en favorita estructural.
Turkey,Tapado serio,Vigilar su rama: puede justificar cobertura si enfrenta a un favorito en un cruce cerrado.,31.354339524245596,0.00497,0.006381056201550393,0.007311721852869334,0.30387,0.06793,0.018750000000000003,0.17704759999999997,0.045799000000000006,0.47283000000000003,34.98317381497711,Tapado por camino favorable,No subirlo por talento puro; subirlo solo si el cuadro queda abierto.,Modelo propio y consenso están razonablemente alineados.,Detección interna por ruta Monte Carlo,,El motor la detecta por su recorrido simulado; no hay una señal editorial externa añadida.
Japan,Tapado de mayor varianza,No sustituye la llave base; usarlo como alerta de sorpresa si la ruta y el live lo favorecen.,30.996956572971868,0.00367,0.00471196705426357,0.0055569497813788065,0.12075,0.05478,0.01515,0.0806316,0.03694650000000001,0.7313240000000001,27.811730442754346,Alerta secundaria,"Mantener en watchlist, no mover la llave base sin nueva evidencia.",Modelo propio y consenso están razonablemente alineados.,World Soccer Talk,https://worldsoccertalk.com/news/dark-horses-you-cannot-ignore-for-the-2026-fifa-world-cup/,La disciplina táctica y la ruta simulada pueden darle valor en cruces cerrados.
